Id	levelUp	Name	Money	Script	Type	Des	BgIcon	Icon	Expend	Arg0	Effects	
唯一的标识（不能重复）	下一个等级	名称	价格	卡牌添加的脚本	卡牌类型的Id	描述	卡牌的背景图资源路径	图标资源的路径	消耗的费用	属性值	特效	
1000	2000	普通攻击	150	AttackCardItem	10001	对单个敌人进行{0}点的伤害	Icon/BlueCard	Icon/sword_01a	1	4	Effects/GreenBloodExplosion	
1001	2001	防御	100	DefendCard	10002	增加{0}点护盾	Icon/GreenCard	Icon/armor_01a	1	3	Effects/SpinZoneBlue	
1002	2002	无中生有	300	AddCard	10003	抽出{0}张卡片	Icon/RedCard	Icon/wood_01a	0	2	Effects/SmokeExplosionDark	
1003	-1	狂野打击	150	AttackAndAddCard	10001	对单个敌人进行{0}点的伤害,并抽一张卡	Icon/BlueCard	Icon/sword_03e	2	7	Effects/GreenBloodExplosion	
1004	-1	横扫	300	AttackAllCard	10001	对所有敌人进行{0}点的伤害	Icon/BlueCard	Icon/sword_03e	2	5	Effects/GreenBloodExplosion	
1005	-1	爆发药	300	PowerCard	10003	消耗。获得{0}点能量	Icon/RedCard	Icon/potion_01a	0	2	Effects/SpinZoneBlue	
2000	-1	普通攻击+1	200	AttackCardItem	10001	对单个敌人进行{0}点的伤害	Icon/BlueCard	Icon/sword_01a	1	6	Effects/GreenBloodExplosion	
2001	-1	防御+1	150	DefendCard	10002	增加{0}点护盾	Icon/GreenCard	Icon/armor_01a	1	5	Effects/SpinZoneBlue	
2002	-1	无中生有+1	400	AddCard	10003	消耗。抽出{0}张卡片	Icon/RedCard	Icon/wood_01a	0	3	Effects/SmokeExplosionDark	
